Date/Time,OFFICE_BACK_Zone Inverse Solution,OFFICE_CORE_Zone Inverse Solution,OFFICE_FRONT_Zone Inverse Solution,OFFICE_LEFT_Zone Inverse Solution,OFFICE_RIGHT_Zone Inverse Solution
 01/05  14:00:00,15.21333333,54.675,15.21166667,9.52,9.521666667
 01/05  15:00:00,10.98166667,39.525,10.98333333,6.866666667,6.876666667
 01/05  16:00:00,10.85666667,39.065,10.865,6.79,6.796666667
 01/05  17:00:00,15.39166667,55.335,15.40666667,9.63,9.636666667
 01/05  18:00:00,4.475,16.08666667,4.481666667,2.796666667,2.796666667
 01/05  19:00:00,0.851666667,3.075,0.86,0.536666667,0.535
 01/05  20:00:00,1.195,4.305,1.201666667,0.75,0.75
 01/05  21:00:00,1.445,5.201666667,1.445,0.908333333,0.908333333
 01/05  22:00:00,1.568333333,5.643333333,1.57,0.985,0.985
 01/05  23:00:00,0.726666667,2.611666667,0.726666667,0.453333333,0.453333333
 01/05  24:00:00,0.693333333,2.488333333,0.693333333,0.431666667,0.431666667
 01/06  01:00:00,0,0,0,0,0
 01/06  02:00:00,0,0,0,0,0
 01/06  03:00:00,0,0,0,0,0
 01/06  04:00:00,0,0,0,0,0
 01/06  05:00:00,0,0,0,0,0
 01/06  06:00:00,0,0,0,0,0
 01/06  07:00:00,1.401666667,5.041666667,1.401666667,0.88,0.88
 01/06  08:00:00,3.046666667,10.94,3.046666667,1.906666667,1.906666667
 01/06  09:00:00,14.34,51.54,14.34166667,8.975,8.971666667
 01/06  10:00:00,10.835,38.97,10.83666667,6.781666667,6.778333333
 01/06  11:00:00,15.595,56.035,15.595,9.76,9.76
 01/06  12:00:00,10.61666667,38.19166667,10.60833333,6.643333333,6.643333333
 01/06  13:00:00,6.913333333,24.88,6.911666667,4.326666667,4.326666667
 01/06  14:00:00,15.25666667,54.82833333,15.25833333,9.548333333,9.55
 01/06  15:00:00,11.00166667,39.58166667,11.00833333,6.88,6.886666667
 01/06  16:00:00,10.89,39.17666667,10.90333333,6.815,6.818333333
 01/06  17:00:00,15.40833333,55.395,15.425,9.641666667,9.645
 01/06  18:00:00,4.161666667,14.975,4.171666667,2.603333333,2.603333333
 01/06  19:00:00,0.881666667,3.171666667,0.886666667,0.553333333,0.553333333
 01/06  20:00:00,1.143333333,4.118333333,1.146666667,0.718333333,0.718333333
 01/06  21:00:00,1.483333333,5.331666667,1.483333333,0.93,0.93
 01/06  22:00:00,1.435,5.155,1.433333333,0.898333333,0.898333333
 01/06  23:00:00,0.615,2.208333333,0.615,0.381666667,0.381666667
 01/06  24:00:00,0.651666667,2.358333333,0.651666667,0.406666667,0.406666667
 01/07  01:00:00,0,0,0,0,0
 01/07  02:00:00,0,0,0,0,0
 01/07  03:00:00,0,0,0,0,0
 01/07  04:00:00,0,0,0,0,0
 01/07  05:00:00,0,0,0,0,0
 01/07  06:00:00,0,0,0,0,0
 01/07  07:00:00,1.393333333,5.006666667,1.393333333,0.873333333,0.873333333
 01/07  08:00:00,3.103333333,11.14166667,3.101666667,1.943333333,1.943333333
 01/07  09:00:00,14.00666667,50.32833333,14.00833333,8.765,8.765
 01/07  10:00:00,10.665,38.34,10.66833333,6.673333333,6.673333333
 01/07  11:00:00,15.43166667,55.445,15.43166667,9.658333333,9.658333333
 01/07  12:00:00,10.27666667,36.95166667,10.27666667,6.431666667,6.431666667
 01/07  13:00:00,6.895,24.79166667,6.896666667,4.315,4.315
 01/07  14:00:00,15.00666667,53.925,15.00666667,9.391666667,9.391666667
 01/07  15:00:00,10.96333333,39.41666667,10.96333333,6.858333333,6.861666667
 01/07  16:00:00,10.865,39.06666667,10.86666667,6.795,6.8
 01/07  17:00:00,15.35666667,55.19833333,15.36,9.61,9.61
 01/07  18:00:00,4.07,14.62833333,4.07,2.543333333,2.543333333
 01/07  19:00:00,1.005,3.611666667,1.005,0.628333333,0.628333333
 01/07  20:00:00,1.135,4.08,1.135,0.711666667,0.711666667
 01/07  21:00:00,1.49,5.353333333,1.49,0.935,0.935
 01/07  22:00:00,1.545,5.553333333,1.545,0.968333333,0.968333333
 01/07  23:00:00,0.685,2.463333333,0.685,0.426666667,0.426666667
 01/07  24:00:00,0.621666667,2.236666667,0.621666667,0.386666667,0.386666667
 01/08  01:00:00,0,0,0,0,0
 01/08  02:00:00,0,0,0,0,0
 01/08  03:00:00,0,0,0,0,0
 01/08  04:00:00,0,0,0,0,0
 01/08  05:00:00,0,0,0,0,0
 01/08  06:00:00,0,0,0,0,0
 01/08  07:00:00,1.331666667,4.793333333,1.331666667,0.836666667,0.836666667
 01/08  08:00:00,3.166666667,11.37,3.166666667,1.981666667,1.981666667
 01/08  09:00:00,9.045,32.51666667,9.045,5.66,5.658333333
 01/08  10:00:00,15.6,56.04833333,15.6,9.763333333,9.763333333
 01/08  11:00:00,14.38,51.695,14.37666667,8.998333333,8.996666667
 01/08  12:00:00,12.34166667,44.37833333,12.33666667,7.72,7.721666667
 01/08  13:00:00,6.655,23.935,6.653333333,4.161666667,4.161666667
 01/08  14:00:00,14.29166667,51.36333333,14.285,8.941666667,8.941666667
 01/08  15:00:00,12.465,44.83333333,12.465,7.8,7.8
 01/08  16:00:00,14.27833333,51.33666667,14.27833333,8.931666667,8.933333333
 01/08  17:00:00,11.81333333,42.47833333,11.81666667,7.391666667,7.393333333
 01/08  18:00:00,4.93,17.71,4.93,3.08,3.08
 01/08  19:00:00,0.795,2.866666667,0.795,0.5,0.5
 01/08  20:00:00,1.078333333,3.873333333,1.076666667,0.675,0.675
 01/08  21:00:00,1.523333333,5.475,1.523333333,0.955,0.955
 01/08  22:00:00,1.566666667,5.635,1.566666667,0.983333333,0.983333333
 01/08  23:00:00,0.505,1.816666667,0.505,0.315,0.315
 01/08  24:00:00,0.713333333,2.568333333,0.713333333,0.443333333,0.443333333
 01/09  01:00:00,0,0,0,0,0
 01/09  02:00:00,0,0,0,0,0
 01/09  03:00:00,0,0,0,0,0
 01/09  04:00:00,0,0,0,0,0
 01/09  05:00:00,0,0,0,0,0
 01/09  06:00:00,0,0,0,0,0
 01/09  07:00:00,1.59,5.721666667,1.59,0.998333333,0.998333333
 01/09  08:00:00,3.22,11.56333333,3.22,2.015,2.015
 01/09  09:00:00,10.37833333,37.30833333,10.38,6.496666667,6.496666667
 01/09  10:00:00,13.595,48.87,13.595,8.505,8.505
 01/09  11:00:00,13.27833333,47.73333333,13.27666667,8.306666667,8.306666667
 01/09  12:00:00,15.045,54.08,15.04333333,9.415,9.415
 01/09  13:00:00,5.728333333,20.60166667,5.726666667,3.583333333,3.583333333
 01/09  14:00:00,14.61666667,52.545,14.61666667,9.146666667,9.146666667
 01/09  15:00:00,15.61,56.08,15.61,9.77,9.77
 01/09  16:00:00,9.751666667,35.08333333,9.751666667,6.1,6.1
 01/09  17:00:00,11.50833333,41.38166667,11.50833333,7.198333333,7.198333333
 01/09  18:00:00,4.93,17.71,4.93,3.08,3.08
 01/09  19:00:00,0.686666667,2.473333333,0.686666667,0.431666667,0.431666667
 01/09  20:00:00,1.155,4.15,1.153333333,0.723333333,0.723333333
 01/09  21:00:00,1.39,5.001666667,1.39,0.871666667,0.871666667
 01/09  22:00:00,1.6,5.756666667,1.6,1.005,1.005
 01/09  23:00:00,0.568333333,2.06,0.568333333,0.353333333,0.353333333
 01/09  24:00:00,0.725,2.608333333,0.725,0.453333333,0.453333333
 01/10  01:00:00,0,0,0,0,0
 01/10  02:00:00,0,0,0,0,0
 01/10  03:00:00,0,0,0,0,0
 01/10  04:00:00,0,0,0,0,0
 01/10  05:00:00,0,0,0,0,0
 01/10  06:00:00,0,0,0,0,0
 01/10  07:00:00,1.57,5.65,1.57,0.986666667,0.986666667
 01/10  08:00:00,1.64,5.9,1.64,1.03,1.03
 01/10  09:00:00,4.876666667,17.52,4.876666667,3.046666667,3.046666667
 01/10  10:00:00,4.888333333,17.56333333,4.888333333,3.055,3.055
 01/10  11:00:00,4.93,17.71,4.93,3.08,3.08
 01/10  12:00:00,4.93,17.71,4.93,3.08,3.08
 01/10  13:00:00,1.64,5.9,1.64,1.03,1.03
 01/10  14:00:00,1.64,5.9,1.64,1.03,1.03
 01/10  15:00:00,1.64,5.9,1.64,1.03,1.03
 01/10  16:00:00,1.64,5.9,1.64,1.03,1.03
 01/10  17:00:00,1.64,5.9,1.64,1.03,1.03
 01/10  18:00:00,0.82,2.95,0.82,0.51,0.51
 01/10  19:00:00,0.82,2.95,0.82,0.51,0.51
 01/10  20:00:00,0,0,0,0,0
 01/10  21:00:00,0,0,0,0,0
 01/10  22:00:00,0,0,0,0,0
 01/10  23:00:00,0,0,0,0,0
 01/10  24:00:00,0,0,0,0,0
 01/11  01:00:00,0,0,0,0,0
 01/11  02:00:00,0,0,0,0,0
 01/11  03:00:00,0,0,0,0,0
 01/11  04:00:00,0,0,0,0,0
 01/11  05:00:00,0,0,0,0,0
 01/11  06:00:00,0,0,0,0,0
 01/11  07:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  08:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  09:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  10:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  11:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  12:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  13:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  14:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  15:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  16:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  17:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  18:00:00,0.82,2.95,0.82,0.51,0.51
 01/11  19:00:00,0,0,0,0,0
 01/11  20:00:00,0,0,0,0,0
 01/11  21:00:00,0,0,0,0,0
 01/11  22:00:00,0,0,0,0,0
 01/11  23:00:00,0,0,0,0,0
 01/11  24:00:00,0,0,0,0,0
 01/12  01:00:00,0,0,0,0,0
 01/12  02:00:00,0,0,0,0,0
 01/12  03:00:00,0,0,0,0,0
 01/12  04:00:00,0,0,0,0,0
 01/12  05:00:00,0,0,0,0,0
 01/12  06:00:00,0,0,0,0,0
 01/12  07:00:00,1.35,4.853333333,1.35,0.846666667,0.846666667
 01/12  08:00:00,3.208333333,11.52333333,3.208333333,2.008333333,2.008333333
 01/12  09:00:00,14.645,52.62666667,14.64333333,9.163333333,9.163333333
 01/12  10:00:00,10.67166667,38.375,10.67166667,6.678333333,6.678333333
 01/12  11:00:00,15.59833333,56.04833333,15.59833333,9.761666667,9.761666667
 01/12  12:00:00,10.29666667,37.04666667,10.29666667,6.443333333,6.445
 01/12  13:00:00,6.823333333,24.54166667,6.821666667,4.268333333,4.268333333
 01/12  14:00:00,15.02,53.98333333,15.02,9.4,9.4
 01/12  15:00:00,10.94666667,39.375,10.94666667,6.848333333,6.85
 01/12  16:00:00,10.84666667,39.01333333,10.84666667,6.785,6.785
 01/12  17:00:00,15.15333333,54.46166667,15.155,9.481666667,9.481666667
 01/12  18:00:00,4.233333333,15.23333333,4.233333333,2.646666667,2.646666667
 01/12  19:00:00,1.008333333,3.625,1.008333333,0.631666667,0.631666667
 01/12  20:00:00,1.066666667,3.833333333,1.066666667,0.67,0.67
 01/12  21:00:00,1.571666667,5.651666667,1.571666667,0.985,0.985
 01/12  22:00:00,1.51,5.428333333,1.51,0.945,0.945
 01/12  23:00:00,0.63,2.263333333,0.63,0.391666667,0.391666667
 01/12  24:00:00,0.548333333,1.973333333,0.548333333,0.341666667,0.341666667
 01/13  01:00:00,0,0,0,0,0
 01/13  02:00:00,0,0,0,0,0
 01/13  03:00:00,0,0,0,0,0
 01/13  04:00:00,0,0,0,0,0
 01/13  05:00:00,0,0,0,0,0
 01/13  06:00:00,0,0,0,0,0
 01/13  07:00:00,1.41,5.07,1.41,0.883333333,0.883333333
 01/13  08:00:00,3.166666667,11.36833333,3.166666667,1.981666667,1.981666667
 01/13  09:00:00,14.36333333,51.61833333,14.36333333,8.988333333,8.988333333
 01/13  10:00:00,10.81666667,38.89666667,10.81666667,6.77,6.77
 01/13  11:00:00,15.61,56.08,15.61,9.77,9.77
 01/13  12:00:00,10.53666667,37.9,10.52666667,6.595,6.593333333
 01/13  13:00:00,6.876666667,24.73666667,6.868333333,4.303333333,4.305
 01/13  14:00:00,15.08166667,54.20333333,15.07833333,9.438333333,9.438333333
 01/13  15:00:00,11.17,40.17166667,11.16833333,6.985,6.991666667
 01/13  16:00:00,10.85333333,39.03166667,10.855,6.788333333,6.79
 01/13  17:00:00,15.3,55.00333333,15.30833333,9.575,9.576666667
 01/13  18:00:00,4.538333333,16.30333333,4.54,2.835,2.835
 01/13  19:00:00,0.896666667,3.261666667,0.91,0.561666667,0.561666667
 01/13  20:00:00,1.058333333,3.808333333,1.06,0.665,0.665
 01/13  21:00:00,1.551666667,5.583333333,1.551666667,0.975,0.975
 01/13  22:00:00,1.476666667,5.311666667,1.476666667,0.925,0.925
 01/13  23:00:00,0.605,2.173333333,0.605,0.376666667,0.376666667
 01/13  24:00:00,0.738333333,2.656666667,0.738333333,0.461666667,0.461666667
 01/14  01:00:00,0,0,0,0,0
 01/14  02:00:00,0,0,0,0,0
 01/14  03:00:00,0,0,0,0,0
 01/14  04:00:00,0,0,0,0,0
 01/14  05:00:00,0,0,0,0,0
 01/14  06:00:00,0,0,0,0,0
 01/14  07:00:00,1.426666667,5.13,1.426666667,0.895,0.895
 01/14  08:00:00,3.223333333,11.57666667,3.225,2.018333333,2.018333333
 01/14  09:00:00,14.38,51.67833333,14.38166667,9,9
 01/14  10:00:00,10.835,38.96166667,10.83833333,6.783333333,6.78
 01/14  11:00:00,15.61,56.08,15.61,9.77,9.77
 01/14  12:00:00,10.6,38.12166667,10.59666667,6.635,6.635
 01/14  13:00:00,6.97,25.07833333,6.968333333,4.363333333,4.363333333
 01/14  14:00:00,15.18333333,54.56666667,15.185,9.501666667,9.505
 01/14  15:00:00,11.03833333,39.69333333,11.045,6.905,6.908333333
 01/14  16:00:00,10.89666667,39.18,10.905,6.818333333,6.82
 01/14  17:00:00,15.36666667,55.235,15.38166667,9.618333333,9.618333333
 01/14  18:00:00,4.331666667,15.56666667,4.335,2.706666667,2.706666667
 01/14  19:00:00,0.85,3.061666667,0.851666667,0.533333333,0.533333333
 01/14  20:00:00,1.158333333,4.163333333,1.158333333,0.726666667,0.726666667
 01/14  21:00:00,1.405,5.046666667,1.405,0.88,0.88
 01/14  22:00:00,1.618333333,5.823333333,1.618333333,1.016666667,1.016666667
 01/14  23:00:00,0.605,2.175,0.605,0.376666667,0.376666667
 01/14  24:00:00,0.66,2.371666667,0.66,0.411666667,0.411666667
 01/15  01:00:00,0,0,0,0,0
 01/15  02:00:00,0,0,0,0,0
 01/15  03:00:00,0,0,0,0,0
 01/15  04:00:00,0,0,0,0,0
 01/15  05:00:00,0,0,0,0,0
 01/15  06:00:00,0,0,0,0,0
 01/15  07:00:00,1.458333333,5.248333333,1.458333333,0.916666667,0.916666667
 01/15  08:00:00,3.01,10.80666667,3.01,1.881666667,1.881666667
 01/15  09:00:00,9.288333333,33.38,9.291666667,5.813333333,5.813333333
 01/15  10:00:00,15.59333333,56.02166667,15.59333333,9.758333333,9.758333333
 01/15  11:00:00,14.18166667,50.965,14.18166667,8.873333333,8.873333333
 01/15  12:00:00,12.41333333,44.615,12.41333333,7.768333333,7.768333333
 01/15  13:00:00,6.68,24.00166667,6.68,4.176666667,4.176666667
 01/15  14:00:00,14.19166667,50.99166667,14.19166667,8.88,8.88
 01/15  15:00:00,12.55833333,45.13,12.55833333,7.856666667,7.856666667
 01/15  16:00:00,14.35833333,51.61166667,14.36333333,8.983333333,8.985
 01/15  17:00:00,11.87166667,42.67166667,11.87666667,7.428333333,7.428333333
 01/15  18:00:00,4.93,17.71,4.93,3.08,3.08
 01/15  19:00:00,0.736666667,2.658333333,0.736666667,0.46,0.46
 01/15  20:00:00,1.081666667,3.885,1.081666667,0.676666667,0.676666667
 01/15  21:00:00,1.565,5.625,1.565,0.981666667,0.981666667
 01/15  22:00:00,1.563333333,5.618333333,1.563333333,0.98,0.98
 01/15  23:00:00,0.718333333,2.586666667,0.718333333,0.446666667,0.446666667
 01/15  24:00:00,0.618333333,2.225,0.618333333,0.385,0.385
 01/16  01:00:00,0,0,0,0,0
 01/16  02:00:00,0,0,0,0,0
 01/16  03:00:00,0,0,0,0,0
 01/16  04:00:00,0,0,0,0,0
 01/16  05:00:00,0,0,0,0,0
 01/16  06:00:00,0,0,0,0,0
 01/16  07:00:00,1.448333333,5.208333333,1.448333333,0.908333333,0.908333333
 01/16  08:00:00,3.181666667,11.42,3.181666667,1.991666667,1.991666667
 01/16  09:00:00,10.37833333,37.30333333,10.37666667,6.495,6.495
 01/16  10:00:00,13.64833333,49.05333333,13.645,8.54,8.54
 01/16  11:00:00,13.32166667,47.89,13.31833333,8.335,8.331666667
 01/16  12:00:00,15.02333333,54.00833333,15.01666667,9.398333333,9.398333333
 01/16  13:00:00,5.77,20.74666667,5.765,3.608333333,3.608333333
 01/16  14:00:00,14.485,52.065,14.475,9.061666667,9.065
 01/16  15:00:00,15.51333333,55.74833333,15.51166667,9.708333333,9.708333333
 01/16  16:00:00,9.88,35.54833333,9.88,6.18,6.183333333
 01/16  17:00:00,11.48666667,41.30666667,11.49,7.186666667,7.186666667
 01/16  18:00:00,4.93,17.71,4.93,3.08,3.08
 01/16  19:00:00,0.685,2.468333333,0.686666667,0.43,0.43
 01/16  20:00:00,1.07,3.865,1.07,0.671666667,0.671666667
 01/16  21:00:00,1.475,5.31,1.476666667,0.926666667,0.926666667
 01/16  22:00:00,1.441666667,5.185,1.441666667,0.905,0.903333333
 01/16  23:00:00,0.555,1.995,0.555,0.345,0.345
 01/16  24:00:00,0.621666667,2.233333333,0.621666667,0.385,0.385
 01/17  01:00:00,0,0,0,0,0
 01/17  02:00:00,0,0,0,0,0
 01/17  03:00:00,0,0,0,0,0
 01/17  04:00:00,0,0,0,0,0
 01/17  05:00:00,0,0,0,0,0
 01/17  06:00:00,0,0,0,0,0
 01/17  07:00:00,1.575,5.666666667,1.575,0.988333333,0.988333333
 01/17  08:00:00,1.64,5.9,1.64,1.03,1.03
 01/17  09:00:00,4.93,17.71,4.93,3.08,3.08
 01/17  10:00:00,4.93,17.71,4.93,3.08,3.08
 01/17  11:00:00,4.93,17.71,4.93,3.08,3.08
 01/17  12:00:00,4.93,17.71,4.93,3.08,3.08
 01/17  13:00:00,1.64,5.9,1.64,1.03,1.03
 01/17  14:00:00,1.64,5.9,1.64,1.03,1.03
 01/17  15:00:00,1.64,5.9,1.64,1.03,1.03
 01/17  16:00:00,1.64,5.9,1.64,1.03,1.03
 01/17  17:00:00,1.64,5.9,1.64,1.03,1.03
 01/17  18:00:00,0.82,2.95,0.82,0.51,0.51
 01/17  19:00:00,0.82,2.95,0.82,0.51,0.51
 01/17  20:00:00,0,0,0,0,0
 01/17  21:00:00,0,0,0,0,0
 01/17  22:00:00,0,0,0,0,0
 01/17  23:00:00,0,0,0,0,0
 01/17  24:00:00,0,0,0,0,0
 01/18  01:00:00,0,0,0,0,0
 01/18  02:00:00,0,0,0,0,0
 01/18  03:00:00,0,0,0,0,0
 01/18  04:00:00,0,0,0,0,0
 01/18  05:00:00,0,0,0,0,0
 01/18  06:00:00,0,0,0,0,0
 01/18  07:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  08:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  09:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  10:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  11:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  12:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  13:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  14:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  15:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  16:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  17:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  18:00:00,0.82,2.95,0.82,0.51,0.51
 01/18  19:00:00,0,0,0,0,0
 01/18  20:00:00,0,0,0,0,0
 01/18  21:00:00,0,0,0,0,0
 01/18  22:00:00,0,0,0,0,0
 01/18  23:00:00,0,0,0,0,0
 01/18  24:00:00,0,0,0,0,0
 01/19  01:00:00,0,0,0,0,0
 01/19  02:00:00,0,0,0,0,0
 01/19  03:00:00,0,0,0,0,0
 01/19  04:00:00,0,0,0,0,0
 01/19  05:00:00,0,0,0,0,0
 01/19  06:00:00,0,0,0,0,0
 01/19  07:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  08:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  09:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  10:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  11:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  12:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  13:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  14:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  15:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  16:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  17:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  18:00:00,0.82,2.95,0.82,0.51,0.51
 01/19  19:00:00,0,0,0,0,0
 01/19  20:00:00,0,0,0,0,0
 01/19  21:00:00,0,0,0,0,0
