Date/Time,S1 OFFICE BACK:Zone Hybrid Model People Count [](Hourly),S1 OFFICE CORE:Zone Hybrid Model People Count [](Hourly),S1 OFFICE FRONT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE LEFT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE RIGHT:Zone Hybrid Model People Count [](Hourly),OFFICE_BACK_Zone Ground Truth,OFFICE_CORE_Zone Ground Truth,OFFICE_FRONT_Zone Ground Truth,OFFICE_LEFT_Zone Ground Truth,OFFICE_RIGHT_Zone Ground Truth
 01/02  24:00:00,0.268333333,0.961666667,0.268333333,0.166666667,0.166666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/03  01:00:00,0,0,0,0,0,0,0,0,0,0
 01/03  02:00:00,0,0,0,0,0,0,0,0,0,0
 01/03  03:00:00,0,0,0,0,0,0,0,0,0,0
 01/03  04:00:00,0,0,0,0,0,0,0,0,0,0
 01/03  05:00:00,0,0,0,0,0,0,0,0,0,0
 01/03  06:00:00,0,0,0,0,0,0,0,0,0,0
 01/03  07:00:00,1.1,3.94,1.1,0.69,0.69,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/03  08:00:00,1.1,3.94,1.1,0.69,0.69,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/03  09:00:00,3.111666667,11.175,3.111666667,1.948333333,1.948333333,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 01/03  10:00:00,3.29,11.81,3.29,2.06,2.06,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 01/03  11:00:00,3.23,11.59166667,3.23,2.021666667,2.021666667,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 01/03  12:00:00,2.976666667,10.68,2.975,1.861666667,1.861666667,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 01/03  13:00:00,0.893333333,3.211666667,0.893333333,0.558333333,0.558333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/03  14:00:00,0.95,3.406666667,0.95,0.593333333,0.593333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/03  15:00:00,0.9,3.236666667,0.9,0.563333333,0.563333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/03  16:00:00,0.908333333,3.271666667,0.908333333,0.568333333,0.568333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/03  17:00:00,0.923333333,3.32,0.923333333,0.576666667,0.576666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/03  18:00:00,0.453333333,1.635,0.453333333,0.285,0.285,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/03  19:00:00,0.451666667,1.626666667,0.451666667,0.281666667,0.281666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/03  20:00:00,0,0,0,0,0,0,0,0,0,0
 01/03  21:00:00,0,0,0,0,0,0,0,0,0,0
 01/03  22:00:00,0,0,0,0,0,0,0,0,0,0
 01/03  23:00:00,0,0,0,0,0,0,0,0,0,0
 01/03  24:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  01:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  02:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  03:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  04:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  05:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  06:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  07:00:00,0.463333333,1.658333333,0.463333333,0.286666667,0.286666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  08:00:00,0.441666667,1.586666667,0.441666667,0.276666667,0.276666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  09:00:00,0.451666667,1.613333333,0.451666667,0.283333333,0.283333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  10:00:00,0.46,1.653333333,0.46,0.288333333,0.288333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  11:00:00,0.46,1.645,0.458333333,0.285,0.285,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  12:00:00,0.455,1.631666667,0.453333333,0.285,0.285,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  13:00:00,0.451666667,1.625,0.45,0.281666667,0.281666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  14:00:00,0.44,1.57,0.435,0.273333333,0.273333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  15:00:00,0.413333333,1.483333333,0.411666667,0.256666667,0.256666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  16:00:00,0.448333333,1.613333333,0.448333333,0.283333333,0.283333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  17:00:00,0.44,1.59,0.44,0.276666667,0.278333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  18:00:00,0.448333333,1.611666667,0.448333333,0.28,0.28,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/04  19:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  20:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  21:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  22:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  23:00:00,0,0,0,0,0,0,0,0,0,0
 01/04  24:00:00,0,0,0,0,0,0,0,0,0,0
 01/05  01:00:00,0,0,0,0,0,0,0,0,0,0
 01/05  02:00:00,0,0,0,0,0,0,0,0,0,0
 01/05  03:00:00,0,0,0,0,0,0,0,0,0,0
 01/05  04:00:00,0,0,0,0,0,0,0,0,0,0
 01/05  05:00:00,0,0,0,0,0,0,0,0,0,0
 01/05  06:00:00,0,0,0,0,0,0,0,0,0,0
 01/05  07:00:00,0.77,2.763333333,0.77,0.481666667,0.481666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/05  08:00:00,2.093333333,7.525,2.093333333,1.31,1.31,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376
 01/05  09:00:00,9.12,32.74333333,9.115,5.705,5.701666667,15.07772668,54.17507174,15.07772668,9.434687517,9.434687517
 01/05  10:00:00,4.756666667,17.08333333,4.748333333,2.976666667,2.973333333,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 01/05  11:00:00,8.941666667,32.11666667,8.925,5.595,5.59,17.53224032,62.99426947,17.53224032,10.97056688,10.97056688
 01/05  12:00:00,3.303333333,11.865,3.283333333,2.066666667,2.066666667,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 01/05  13:00:00,1.375,4.961666667,1.375,0.86,0.86,8.064830547,28.97736396,8.064830547,5.046460765,5.046460765
 01/05  14:00:00,8.771666667,31.515,8.76,5.485,5.49,16.83095071,60.47449869,16.83095071,10.5317442,10.5317442
 01/05  15:00:00,3.943333333,14.19166667,3.936666667,2.463333333,2.468333333,12.44789063,44.72593132,12.44789063,7.789102485,7.789102485
 01/05  16:00:00,4.401666667,15.835,4.403333333,2.748333333,2.75,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 01/05  17:00:00,8.218333333,29.53833333,8.221666667,5.141666667,5.141666667,16.6556283,59.844556,16.6556283,10.42203854,10.42203854
 01/05  18:00:00,0.35,1.27,0.353333333,0.22,0.218333333,6.311606515,22.67793701,6.311606515,3.949404077,3.949404077
 01/05  19:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/05  20:00:00,0.355,1.273333333,0.355,0.221666667,0.221666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/05  21:00:00,0.443333333,1.593333333,0.443333333,0.276666667,0.276666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/05  22:00:00,0.601666667,2.175,0.6,0.375,0.375,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/05  23:00:00,0.265,0.945,0.265,0.165,0.165,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/05  24:00:00,0.16,0.578333333,0.16,0.1,0.1,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/06  01:00:00,0,0,0,0,0,0,0,0,0,0
 01/06  02:00:00,0,0,0,0,0,0,0,0,0,0
 01/06  03:00:00,0,0,0,0,0,0,0,0,0,0
 01/06  04:00:00,0,0,0,0,0,0,0,0,0,0
 01/06  05:00:00,0,0,0,0,0,0,0,0,0,0
 01/06  06:00:00,0,0,0,0,0,0,0,0,0,0
 01/06  07:00:00,0.661666667,2.373333333,0.661666667,0.415,0.416666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/06  08:00:00,1.92,6.896666667,1.918333333,1.2,1.2,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376
 01/06  09:00:00,9.401666667,33.76,9.395,5.881666667,5.878333333,15.07772668,54.17507174,15.07772668,9.434687517,9.434687517
 01/06  10:00:00,4.748333333,17.045,4.738333333,2.968333333,2.966666667,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 01/06  11:00:00,8.938333333,32.1,8.923333333,5.593333333,5.588333333,17.53224032,62.99426947,17.53224032,10.97056688,10.97056688
 01/06  12:00:00,3.32,11.935,3.306666667,2.08,2.078333333,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 01/06  13:00:00,1.395,5.035,1.4,0.873333333,0.875,8.064830547,28.97736396,8.064830547,5.046460765,5.046460765
 01/06  14:00:00,8.861666667,31.835,8.855,5.541666667,5.543333333,16.83095071,60.47449869,16.83095071,10.5317442,10.5317442
 01/06  15:00:00,3.923333333,14.11833333,3.923333333,2.451666667,2.455,12.44789063,44.72593132,12.44789063,7.789102485,7.789102485
 01/06  16:00:00,4.388333333,15.805,4.398333333,2.745,2.745,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 01/06  17:00:00,8.241666667,29.62,8.243333333,5.156666667,5.155,16.6556283,59.844556,16.6556283,10.42203854,10.42203854
 01/06  18:00:00,0.638333333,2.308333333,0.641666667,0.4,0.4,6.311606515,22.67793701,6.311606515,3.949404077,3.949404077
 01/06  19:00:00,0.038333333,0.14,0.038333333,0.023333333,0.023333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/06  20:00:00,0.338333333,1.216666667,0.34,0.211666667,0.211666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/06  21:00:00,0.531666667,1.915,0.531666667,0.333333333,0.333333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/06  22:00:00,0.518333333,1.861666667,0.518333333,0.325,0.325,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/06  23:00:00,0.275,0.985,0.275,0.17,0.17,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/06  24:00:00,0.306666667,1.103333333,0.306666667,0.19,0.19,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/07  01:00:00,0,0,0,0,0,0,0,0,0,0
 01/07  02:00:00,0,0,0,0,0,0,0,0,0,0
 01/07  03:00:00,0,0,0,0,0,0,0,0,0,0
 01/07  04:00:00,0,0,0,0,0,0,0,0,0,0
 01/07  05:00:00,0,0,0,0,0,0,0,0,0,0
 01/07  06:00:00,0,0,0,0,0,0,0,0,0,0
 01/07  07:00:00,0.791666667,2.833333333,0.79,0.496666667,0.496666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/07  08:00:00,2.028333333,7.288333333,2.028333333,1.268333333,1.268333333,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376
 01/07  09:00:00,8.725,31.33333333,8.723333333,5.456666667,5.456666667,15.07772668,54.17507174,15.07772668,9.434687517,9.434687517
 01/07  10:00:00,4.57,16.41833333,4.568333333,2.861666667,2.86,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 01/07  11:00:00,8.545,30.7,8.545,5.346666667,5.345,17.53224032,62.99426947,17.53224032,10.97056688,10.97056688
 01/07  12:00:00,3.356666667,12.075,3.358333333,2.1,2.1,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 01/07  13:00:00,1.756666667,6.328333333,1.758333333,1.098333333,1.098333333,8.064830547,28.97736396,8.064830547,5.046460765,5.046460765
 01/07  14:00:00,8.465,30.415,8.465,5.296666667,5.296666667,16.83095071,60.47449869,16.83095071,10.5317442,10.5317442
 01/07  15:00:00,3.938333333,14.175,3.941666667,2.465,2.465,12.44789063,44.72593132,12.44789063,7.789102485,7.789102485
 01/07  16:00:00,4.365,15.70333333,4.365,2.731666667,2.731666667,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 01/07  17:00:00,8.203333333,29.48666667,8.208333333,5.133333333,5.133333333,16.6556283,59.844556,16.6556283,10.42203854,10.42203854
 01/07  18:00:00,0.613333333,2.22,0.615,0.385,0.385,6.311606515,22.67793701,6.311606515,3.949404077,3.949404077
 01/07  19:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/07  20:00:00,0.308333333,1.11,0.31,0.193333333,0.193333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/07  21:00:00,0.625,2.261666667,0.625,0.391666667,0.391666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/07  22:00:00,0.606666667,2.183333333,0.606666667,0.378333333,0.378333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/07  23:00:00,0.125,0.45,0.125,0.076666667,0.076666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/07  24:00:00,0.331666667,1.188333333,0.331666667,0.205,0.205,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/08  01:00:00,0,0,0,0,0,0,0,0,0,0
 01/08  02:00:00,0,0,0,0,0,0,0,0,0,0
 01/08  03:00:00,0,0,0,0,0,0,0,0,0,0
 01/08  04:00:00,0,0,0,0,0,0,0,0,0,0
 01/08  05:00:00,0,0,0,0,0,0,0,0,0,0
 01/08  06:00:00,0,0,0,0,0,0,0,0,0,0
 01/08  07:00:00,0.71,2.546666667,0.71,0.445,0.445,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/08  08:00:00,2.043333333,7.34,2.043333333,1.278333333,1.278333333,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376
 01/08  09:00:00,6.035,21.66666667,6.033333333,3.776666667,3.776666667,9.392266591,33.74691208,9.392266591,5.877086266,5.877086266
 01/08  10:00:00,9.536666667,34.24666667,9.533333333,5.966666667,5.966666667,17.18159551,61.73438408,17.18159551,10.75115554,10.75115554
 01/08  11:00:00,6.648333333,23.88833333,6.648333333,4.16,4.16,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462
 01/08  12:00:00,4.753333333,17.08666667,4.748333333,2.973333333,2.973333333,13.77530914,49.49541645,13.77530914,8.619717015,8.619717015
 01/08  13:00:00,1.675,6.035,1.675,1.045,1.046666667,8.139956197,29.2472944,8.139956197,5.093469644,5.093469644
 01/08  14:00:00,7.83,28.135,7.828333333,4.896666667,4.896666667,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462
 01/08  15:00:00,5.273333333,18.97,5.273333333,3.301666667,3.301666667,13.77532667,49.49547944,13.77532667,8.619727986,8.619727986
 01/08  16:00:00,6.711666667,24.13333333,6.713333333,4.2,4.2,15.42837148,55.43495713,15.42837148,9.654098854,9.654098854
 01/08  17:00:00,4.51,16.225,4.511666667,2.82,2.82,13.14918024,47.2457021,13.14918024,8.22792516,8.22792516
 01/08  18:00:00,1.428333333,5.153333333,1.431666667,0.895,0.895,8.139956197,29.2472944,8.139956197,5.093469644,5.093469644
 01/08  19:00:00,0.068333333,0.243333333,0.068333333,0.041666667,0.041666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/08  20:00:00,0.213333333,0.763333333,0.213333333,0.133333333,0.133333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/08  21:00:00,0.385,1.403333333,0.385,0.241666667,0.241666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/08  22:00:00,0.78,2.803333333,0.78,0.486666667,0.486666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/08  23:00:00,0.205,0.731666667,0.205,0.126666667,0.126666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/08  24:00:00,0.221666667,0.813333333,0.223333333,0.138333333,0.138333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/09  01:00:00,0,0,0,0,0,0,0,0,0,0
 01/09  02:00:00,0,0,0,0,0,0,0,0,0,0
 01/09  03:00:00,0,0,0,0,0,0,0,0,0,0
 01/09  04:00:00,0,0,0,0,0,0,0,0,0,0
 01/09  05:00:00,0,0,0,0,0,0,0,0,0,0
 01/09  06:00:00,0,0,0,0,0,0,0,0,0,0
 01/09  07:00:00,0.87,3.116666667,0.87,0.543333333,0.543333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/09  08:00:00,2.095,7.53,2.095,1.311666667,1.31,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376
 01/09  09:00:00,7.041666667,25.29333333,7.04,4.408333333,4.406666667,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917
 01/09  10:00:00,7.798333333,28.00833333,7.796666667,4.881666667,4.881666667,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811
 01/09  11:00:00,6.315,22.69666667,6.315,3.951666667,3.951666667,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811
 01/09  12:00:00,7.301666667,26.23666667,7.301666667,4.57,4.57,16.27992993,58.4946518,16.27992993,10.18695026,10.18695026
 01/09  13:00:00,1.108333333,4.003333333,1.108333333,0.693333333,0.695,7.513809766,26.99751706,7.513809766,4.701666818,4.701666818
 01/09  14:00:00,8.126666667,29.20333333,8.126666667,5.086666667,5.086666667,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462
 01/09  15:00:00,8.241666667,29.63,8.241666667,5.156666667,5.156666667,17.53222279,62.99420648,17.53222279,10.97055591,10.97055591
 01/09  16:00:00,3.046666667,10.97833333,3.05,1.906666667,1.906666667,11.27070588,40.49624409,11.27070588,7.052494742,7.052494742
 01/09  17:00:00,4.946666667,17.80166667,4.946666667,3.095,3.095,12.52301628,44.99586177,12.52301628,7.836111364,7.836111364
 01/09  18:00:00,3.156666667,11.335,3.156666667,1.976666667,1.976666667,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917
 01/09  19:00:00,0.05,0.181666667,0.05,0.031666667,0.031666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/09  20:00:00,0.183333333,0.656666667,0.183333333,0.115,0.115,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/09  21:00:00,0.615,2.203333333,0.615,0.385,0.385,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/09  22:00:00,0.691666667,2.483333333,0.691666667,0.433333333,0.433333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/09  23:00:00,0.218333333,0.785,0.218333333,0.135,0.135,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/09  24:00:00,0.198333333,0.708333333,0.198333333,0.123333333,0.123333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/10  01:00:00,0,0,0,0,0,0,0,0,0,0
 01/10  02:00:00,0,0,0,0,0,0,0,0,0,0
 01/10  03:00:00,0,0,0,0,0,0,0,0,0,0
 01/10  04:00:00,0,0,0,0,0,0,0,0,0,0
 01/10  05:00:00,0,0,0,0,0,0,0,0,0,0
 01/10  06:00:00,0,0,0,0,0,0,0,0,0,0
 01/10  07:00:00,1.1,3.94,1.1,0.69,0.69,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/10  08:00:00,1.1,3.94,1.1,0.69,0.69,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/10  09:00:00,3.29,11.81,3.29,2.06,2.06,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 01/10  10:00:00,3.188333333,11.44166667,3.186666667,1.995,1.995,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 01/10  11:00:00,3.196666667,11.47833333,3.196666667,2.001666667,2,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 01/10  12:00:00,2.99,10.73666667,2.99,1.87,1.87,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 01/10  13:00:00,0.933333333,3.363333333,0.933333333,0.583333333,0.583333333,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/10  14:00:00,0.928333333,3.335,0.928333333,0.581666667,0.581666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/10  15:00:00,0.935,3.366666667,0.935,0.585,0.585,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/10  16:00:00,0.935,3.358333333,0.935,0.585,0.585,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/10  17:00:00,0.928333333,3.34,0.928333333,0.581666667,0.581666667,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 01/10  18:00:00,0.455,1.64,0.455,0.285,0.285,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/10  19:00:00,0.44,1.588333333,0.44,0.275,0.275,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/10  20:00:00,0,0,0,0,0,0,0,0,0,0
 01/10  21:00:00,0,0,0,0,0,0,0,0,0,0
 01/10  22:00:00,0,0,0,0,0,0,0,0,0,0
 01/10  23:00:00,0,0,0,0,0,0,0,0,0,0
 01/10  24:00:00,0,0,0,0,0,0,0,0,0,0
 01/11  01:00:00,0,0,0,0,0,0,0,0,0,0
 01/11  02:00:00,0,0,0,0,0,0,0,0,0,0
 01/11  03:00:00,0,0,0,0,0,0,0,0,0,0
 01/11  04:00:00,0,0,0,0,0,0,0,0,0,0
 01/11  05:00:00,0,0,0,0,0,0,0,0,0,0
 01/11  06:00:00,0,0,0,0,0,0,0,0,0,0
 01/11  07:00:00,0.425,1.53,0.425,0.265,0.265,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/11  08:00:00,0.41,1.476666667,0.41,0.256666667,0.256666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
